county_name,year,population,fips_code
".Cochise County, Arizona",2021,126147.0,
".Cochise County, Arizona",2022,125497.0,
".Cochise County, Arizona",2023,124881.0,
".Cochise County, Arizona",2024,125773.0,
".Coconino County, Arizona",2020,145190.0,
".Coconino County, Arizona",2021,142927.0,
".Coconino County, Arizona",2022,144326.0,
".Coconino County, Arizona",2023,144934.0,
".Coconino County, Arizona",2024,145161.0,
".Gila County, Arizona",2020,53355.0,
".Gila County, Arizona",2021,53559.0,
".Gila County, Arizona",2022,53927.0,
".Gila County, Arizona",2023,54060.0,
".Gila County, Arizona",2024,54073.0,
".Graham County, Arizona",2020,38630.0,
".Graham County, Arizona",2021,38923.0,
".Graham County, Arizona",2022,38802.0,
".Graham County, Arizona",2023,39561.0,
".Graham County, Arizona",2024,40242.0,
".Greenlee County, Arizona",2020,9531.0,
".Greenlee County, Arizona",2021,9401.0,
".Greenlee County, Arizona",2022,9321.0,
".Greenlee County, Arizona",2023,9383.0,
".Greenlee County, Arizona",2024,9410.0,
".La Paz County, Arizona",2020,16573.0,
".La Paz County, Arizona",2021,16390.0,
".La Paz County, Arizona",2022,16555.0,
".La Paz County, Arizona",2023,16812.0,
".La Paz County, Arizona",2024,16992.0,
".Maricopa County, Arizona",2020,4445415.0,
".Maricopa County, Arizona",2021,4500147.0,
".Maricopa County, Arizona",2022,4564457.0,
".Maricopa County, Arizona",2023,4615625.0,
".Maricopa County, Arizona",2024,4673096.0,
".Mohave County, Arizona",2020,214173.0,
".Mohave County, Arizona",2021,217186.0,
".Mohave County, Arizona",2022,220947.0,
".Mohave County, Arizona",2023,223801.0,
".Mohave County, Arizona",2024,226479.0,
".Navajo County, Arizona",2020,106773.0,
".Navajo County, Arizona",2021,107736.0,
".Navajo County, Arizona",2022,108771.0,
".Navajo County, Arizona",2023,109281.0,
".Navajo County, Arizona",2024,109516.0,
".Pima County, Arizona",2020,1045227.0,
".Pima County, Arizona",2021,1049083.0,
".Pima County, Arizona",2022,1059412.0,
".Pima County, Arizona",2023,1068579.0,
".Pima County, Arizona",2024,1080149.0,
".Pinal County, Arizona",2020,430213.0,
".Pinal County, Arizona",2021,449086.0,
".Pinal County, Arizona",2022,465476.0,
".Pinal County, Arizona",2023,486395.0,
".Pinal County, Arizona",2024,513862.0,
".Santa Cruz County, Arizona",2020,47712.0,
".Santa Cruz County, Arizona",2021,47962.0,
".Santa Cruz County, Arizona",2022,48801.0,
".Santa Cruz County, Arizona",2023,49647.0,
".Santa Cruz County, Arizona",2024,50508.0,
".Yavapai County, Arizona",2020,237228.0,
".Yavapai County, Arizona",2021,242392.0,
".Yavapai County, Arizona",2022,246266.0,
".Yavapai County, Arizona",2023,249499.0,
".Yavapai County, Arizona",2024,252013.0,
".Yuma County, Arizona",2020,205665.0,
".Yuma County, Arizona",2021,207743.0,
".Yuma County, Arizona",2022,209538.0,
".Yuma County, Arizona",2023,215448.0,
".Yuma County, Arizona",2024,220310.0,
".Arkansas County, Arkansas",2020,17104.0,
".Arkansas County, Arkansas",2021,16668.0,
".Arkansas County, Arkansas",2022,16458.0,
".Arkansas County, Arkansas",2023,16295.0,
".Arkansas County, Arkansas",2024,16050.0,
".Ashley County, Arkansas",2020,18963.0,
".Ashley County, Arkansas",2021,18647.0,
".Ashley County, Arkansas",2022,18318.0,
".Ashley County, Arkansas",2023,18232.0,
".Ashley County, Arkansas",2024,17984.0,
".Baxter County, Arkansas",2020,41696.0,
".Baxter County, Arkansas",2021,42174.0,
".Baxter County, Arkansas",2022,42378.0,
".Baxter County, Arkansas",2023,42781.0,
".Baxter County, Arkansas",2024,43007.0,
".Benton County, Arkansas",2020,286621.0,
".Benton County, Arkansas",2021,294168.0,
".Benton County, Arkansas",2022,303558.0,
".Benton County, Arkansas",2023,312248.0,
".Benton County, Arkansas",2024,321566.0,
".Boone County, Arkansas",2020,37393.0,
".Boone County, Arkansas",2021,37890.0,
".Boone County, Arkansas",2022,38254.0,
".Boone County, Arkansas",2023,38516.0,
".Boone County, Arkansas",2024,38636.0,
".Bradley County, Arkansas",2020,10492.0,
".Bradley County, Arkansas",2021,10337.0,
".Bradley County, Arkansas",2022,10167.0,
".Bradley County, Arkansas",2023,10109.0,
".Bradley County, Arkansas",2024,9935.0,
".Calhoun County, Arkansas",2020,4736.0,
".Calhoun County, Arkansas",2021,4729.0,
".Calhoun County, Arkansas",2022,4703.0,
".Calhoun County, Arkansas",2023,4664.0,
".Calhoun County, Arkansas",2024,4690.0,
".Carroll County, Arkansas",2020,28241.0,
".Carroll County, Arkansas",2021,28514.0,
".Carroll County, Arkansas",2022,28667.0,
".Carroll County, Arkansas",2023,28738.0,
".Carroll County, Arkansas",2024,28968.0,
".Chicot County, Arkansas",2020,10159.0,
".Chicot County, Arkansas",2021,10051.0,
".Chicot County, Arkansas",2022,9836.0,
".Chicot County, Arkansas",2023,9507.0,
".Chicot County, Arkansas",2024,9272.0,
".Clark County, Arkansas",2020,21403.0,
".Clark County, Arkansas",2021,21248.0,
".Clark County, Arkansas",2022,21136.0,
".Clark County, Arkansas",2023,20918.0,
".Clark County, Arkansas",2024,20920.0,
".Clay County, Arkansas",2020,14534.0,
".Clay County, Arkansas",2021,14334.0,
".Clay County, Arkansas",2022,14229.0,
".Clay County, Arkansas",2023,14191.0,
".Clay County, Arkansas",2024,14112.0,
".Cleburne County, Arkansas",2020,24716.0,
".Cleburne County, Arkansas",2021,25020.0,
".Cleburne County, Arkansas",2022,25272.0,
".Cleburne County, Arkansas",2023,25476.0,
".Cleburne County, Arkansas",2024,25646.0,
".Cleveland County, Arkansas",2020,7554.0,
".Cleveland County, Arkansas",2021,7489.0,
".Cleveland County, Arkansas",2022,7471.0,
".Cleveland County, Arkansas",2023,7386.0,
".Cleveland County, Arkansas",2024,7367.0,
".Columbia County, Arkansas",2020,22743.0,
".Columbia County, Arkansas",2021,22470.0,
".Columbia County, Arkansas",2022,22316.0,
".Columbia County, Arkansas",2023,22193.0,
".Columbia County, Arkansas",2024,22024.0,
".Conway County, Arkansas",2020,20734.0,
".Conway County, Arkansas",2021,20905.0,
".Conway County, Arkansas",2022,21091.0,
".Conway County, Arkansas",2023,21118.0,
".Conway County, Arkansas",2024,21422.0,
".Craighead County, Arkansas",2020,111623.0,
".Craighead County, Arkansas",2021,111695.0,
".Craighead County, Arkansas",2022,112828.0,
".Craighead County, Arkansas",2023,114245.0,
".Craighead County, Arkansas",2024,115852.0,
".Crawford County, Arkansas",2020,60160.0,
".Crawford County, Arkansas",2021,60382.0,
".Crawford County, Arkansas",2022,61084.0,
".Crawford County, Arkansas",2023,61810.0,
".Crawford County, Arkansas",2024,62258.0,
".Crittenden County, Arkansas",2020,48090.0,
".Crittenden County, Arkansas",2021,47405.0,
".Crittenden County, Arkansas",2022,47031.0,
".Crittenden County, Arkansas",2023,47171.0,
".Crittenden County, Arkansas",2024,46633.0,
".Cross County, Arkansas",2020,16801.0,
".Cross County, Arkansas",2021,16671.0,
".Cross County, Arkansas",2022,16594.0,
".Cross County, Arkansas",2023,16453.0,
".Cross County, Arkansas",2024,16194.0,
".Dallas County, Arkansas",2020,6441.0,
".Dallas County, Arkansas",2021,6307.0,
".Dallas County, Arkansas",2022,6197.0,
".Dallas County, Arkansas",2023,6187.0,
".Dallas County, Arkansas",2024,6076.0,
".Desha County, Arkansas",2020,11321.0,
".Desha County, Arkansas",2021,11048.0,
".Desha County, Arkansas",2022,10760.0,
".Desha County, Arkansas",2023,10478.0,
".Desha County, Arkansas",2024,10321.0,
".Drew County, Arkansas",2020,17315.0,
".Drew County, Arkansas",2021,17063.0,
".Drew County, Arkansas",2022,16930.0,
".Drew County, Arkansas",2023,16986.0,
".Drew County, Arkansas",2024,16935.0,
".Faulkner County, Arkansas",2020,123820.0,
".Faulkner County, Arkansas",2021,125590.0,
".Faulkner County, Arkansas",2022,127656.0,
".Faulkner County, Arkansas",2023,129909.0,
".Faulkner County, Arkansas",2024,131611.0,
".Franklin County, Arkansas",2020,17141.0,
".Franklin County, Arkansas",2021,17159.0,
".Franklin County, Arkansas",2022,17274.0,
".Franklin County, Arkansas",2023,17471.0,
".Franklin County, Arkansas",2024,17586.0,
".Fulton County, Arkansas",2020,12051.0,
".Fulton County, Arkansas",2021,12137.0,
".Fulton County, Arkansas",2022,12354.0,
".Fulton County, Arkansas",2023,12422.0,
".Fulton County, Arkansas",2024,12546.0,
".Garland County, Arkansas",2020,100266.0,
".Garland County, Arkansas",2021,100306.0,
".Garland County, Arkansas",2022,99942.0,
".Garland County, Arkansas",2023,99759.0,
".Garland County, Arkansas",2024,99902.0,
".Grant County, Arkansas",2020,18019.0,
".Grant County, Arkansas",2021,18124.0,
".Grant County, Arkansas",2022,18127.0,
".Grant County, Arkansas",2023,18392.0,
".Grant County, Arkansas",2024,18546.0,
".Greene County, Arkansas",2020,45861.0,
".Greene County, Arkansas",2021,46314.0,
".Greene County, Arkansas",2022,46359.0,
".Greene County, Arkansas",2023,46700.0,
".Greene County, Arkansas",2024,46928.0,
".Hempstead County, Arkansas",2020,19986.0,
".Hempstead County, Arkansas",2021,19660.0,
".Hempstead County, Arkansas",2022,19469.0,
".Hempstead County, Arkansas",2023,19321.0,
".Hempstead County, Arkansas",2024,19105.0,
".Hot Spring County, Arkansas",2020,33076.0,
".Hot Spring County, Arkansas",2021,33078.0,
".Hot Spring County, Arkansas",2022,33170.0,
".Hot Spring County, Arkansas",2023,33259.0,
".Hot Spring County, Arkansas",2024,33313.0,
".Howard County, Arkansas",2020,12758.0,
".Howard County, Arkansas",2021,12689.0,
".Howard County, Arkansas",2022,12583.0,
".Howard County, Arkansas",2023,12500.0,
".Howard County, Arkansas",2024,12387.0,
".Independence County, Arkansas",2020,37945.0,
".Independence County, Arkansas",2021,38034.0,
".Independence County, Arkansas",2022,38223.0,
".Independence County, Arkansas",2023,38329.0,
".Independence County, Arkansas",2024,38345.0,
".Izard County, Arkansas",2020,13604.0,
".Izard County, Arkansas",2021,13916.0,
".Izard County, Arkansas",2022,14033.0,
".Izard County, Arkansas",2023,14202.0,
".Izard County, Arkansas",2024,14291.0,
".Jackson County, Arkansas",2020,16759.0,
".Jackson County, Arkansas",2021,16771.0,
".Jackson County, Arkansas",2022,16607.0,
".Jackson County, Arkansas",2023,16749.0,
".Jackson County, Arkansas",2024,16673.0,
".Jefferson County, Arkansas",2020,66835.0,
".Jefferson County, Arkansas",2021,65624.0,
".Jefferson County, Arkansas",2022,64341.0,
".Jefferson County, Arkansas",2023,63539.0,
".Jefferson County, Arkansas",2024,63672.0,
".Johnson County, Arkansas",2020,25727.0,
".Johnson County, Arkansas",2021,25959.0,
".Johnson County, Arkansas",2022,25997.0,
".Johnson County, Arkansas",2023,26161.0,
".Johnson County, Arkansas",2024,26172.0,
".Lafayette County, Arkansas",2020,6295.0,
".Lafayette County, Arkansas",2021,6154.0,
".Lafayette County, Arkansas",2022,6136.0,
".Lafayette County, Arkansas",2023,6082.0,
".Lafayette County, Arkansas",2024,6015.0,
".Lawrence County, Arkansas",2020,16216.0,
".Lawrence County, Arkansas",2021,16296.0,
".Lawrence County, Arkansas",2022,16146.0,
".Lawrence County, Arkansas",2023,16225.0,
".Lawrence County, Arkansas",2024,16305.0,
".Lee County, Arkansas",2020,8530.0,
".Lee County, Arkansas",2021,8565.0,
".Lee County, Arkansas",2022,8373.0,
".Lee County, Arkansas",2023,8221.0,
".Lee County, Arkansas",2024,8104.0,
".Lincoln County, Arkansas",2020,12890.0,
".Lincoln County, Arkansas",2021,13177.0,
".Lincoln County, Arkansas",2022,12914.0,
".Lincoln County, Arkansas",2023,12900.0,
".Lincoln County, Arkansas",2024,12868.0,
".Little River County, Arkansas",2020,11971.0,
".Little River County, Arkansas",2021,11929.0,
".Little River County, Arkansas",2022,11811.0,
".Little River County, Arkansas",2023,11766.0,
".Little River County, Arkansas",2024,11626.0,
".Logan County, Arkansas",2020,21109.0,
".Logan County, Arkansas",2021,21217.0,
".Logan County, Arkansas",2022,21242.0,
".Logan County, Arkansas",2023,21360.0,
".Logan County, Arkansas",2024,21457.0,
".Lonoke County, Arkansas",2020,74072.0,
".Lonoke County, Arkansas",2021,74755.0,
".Lonoke County, Arkansas",2022,75219.0,
".Lonoke County, Arkansas",2023,75924.0,
".Lonoke County, Arkansas",2024,76389.0,
".Madison County, Arkansas",2020,16560.0,
".Madison County, Arkansas",2021,16961.0,
".Madison County, Arkansas",2022,17493.0,
".Madison County, Arkansas",2023,17767.0,
".Madison County, Arkansas",2024,17865.0,
".Marion County, Arkansas",2020,16867.0,
".Marion County, Arkansas",2021,16957.0,
".Marion County, Arkansas",2022,17236.0,
".Marion County, Arkansas",2023,17485.0,
".Marion County, Arkansas",2024,17593.0,
".Miller County, Arkansas",2020,42586.0,
".Miller County, Arkansas",2021,42468.0,
".Miller County, Arkansas",2022,42484.0,
".Miller County, Arkansas",2023,42302.0,
".Miller County, Arkansas",2024,41958.0,
".Mississippi County, Arkansas",2020,40545.0,
".Mississippi County, Arkansas",2021,39525.0,
